web-scraper-order,web-scraper-start-url,condition_tv,brand,screen_dimension,price
"1732740679-1","https://www.expat-dakar.com/tv-home-cinema?page=156","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740679-2","https://www.expat-dakar.com/tv-home-cinema?page=156","Neuf","Autre","Android box T95s1","30 000 F Cfa"
"1732740679-3","https://www.expat-dakar.com/tv-home-cinema?page=156","Neuf","Autre","Télé Led Smart 43 pouce","150 000 F Cfa"
"1732740679-4","https://www.expat-dakar.com/tv-home-cinema?page=156","Neuf","Autre","TV box mxqpro","25 000 F Cfa"
"1732740679-5","https://www.expat-dakar.com/tv-home-cinema?page=156","Neuf","Schneider","Tv box android 9.0","35 000 F Cfa"
"1732740679-6","https://www.expat-dakar.com/tv-home-cinema?page=156","Neuf","Autre","Tv box 10.0","35 000 F Cfa"
"1732740682-7","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740682-8","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Star","Star Track Television Smart Tv 4K 65 POUCES","490 000 F Cfa"
"1732740682-9","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Star","télévision STAR TRACK SMART TV 75 pouces","690 000 F Cfa"
"1732740682-10","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Autre","Box tv 4k android","25 000 F Cfa"
"1732740682-11","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Autre","Tv box android 11","35 000 F Cfa"
"1732740682-12","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Autre","IPTV Abonnement 4K",""
"1732740682-13","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Smart Technology","Tv Smart Technology Smart 65 Pouces 4k Android","300 000 F Cfa"
"1732740682-14","https://www.expat-dakar.com/tv-home-cinema?page=155","Venant","Autre","NVIDIA Shield TV Box + manette","200 000 F Cfa"
"1732740682-15","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Hisense","Tv HISENSE 32"" Smart Android","100 000 F Cfa"
"1732740682-16","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Toshiba","Box tv 8k pro","45 000 F Cfa"
"1732740682-17","https://www.expat-dakar.com/tv-home-cinema?page=155","Neuf","Autre","Box tv 8k HDR10","45 000 F Cfa"
"1732740684-18","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740684-19","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Autre","TX3 mini box tv","25 000 F Cfa"
"1732740684-20","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Autre","Videoprojecteur android WiFi Bluetooth 1100lums 170 pouces","50 000 F Cfa"
"1732740684-21","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Hisense","Tv HISENSE 32"" smart android UHD","100 000 F Cfa"
"1732740684-22","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Autre","TELEVISEUR - ETEX - 32 LED  – 32 POUCES –USB-HDMI","89 900 F Cfa"
"1732740684-23","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Autre","TELEVISEUR -CAC –43’’ (109cm) SMART - ANDROID TV","179 000 F Cfa"
"1732740684-24","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Autre","Fixation mural mobile","20 000 F Cfa"
"1732740684-25","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","LG","Tv box 4k android 12","30 000 F Cfa"
"1732740684-26","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Nasco","Tv box","35 000 F Cfa"
"1732740684-27","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Star","Téléviseur Star Track Smart Tv 58 Pouces ST-58K-MT 1200","375 000 F Cfa"
"1732740684-28","https://www.expat-dakar.com/tv-home-cinema?page=154","Neuf","Star","TELEVISION LG OLED SMART TV 65 POUCES","1 350 000 F Cfa"
"1732740687-29","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740687-30","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Autre","PROMO Télé Smart 32 Pouces","85 000 F Cfa"
"1732740687-31","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Hisense","TELEVISEUR HISENSE 43'' - SMART TV -109 CM","199 000 F Cfa"
"1732740687-32","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Autre","11.1V 97Wh batterie pour Dell Latitude E6430","17 000 F Cfa"
"1732740687-33","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Hisense","TELEVISEUR - HISENSE - 32''- 82 CM-SMART TV","139 900 F Cfa"
"1732740687-34","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Hisense","TELEVISEUR - HISENSE - 65 POUCES - 4K -ULTRA HD - SMART TV","555 990 F Cfa"
"1732740687-35","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","LG","H96 Max 4K Tv box","35 000 F Cfa"
"1732740687-36","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Samsung","Samsung Television Smart Tv 4K 75 POUCES UA75TU7000U","920 000 F Cfa"
"1732740687-37","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","LG","TELEVISION LG SMART TV 75 POUCES","1 250 000 F Cfa"
"1732740687-38","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","LG","TELEVISION LG SMART TV 82 POUCES","1 650 000 F Cfa"
"1732740687-39","https://www.expat-dakar.com/tv-home-cinema?page=153","Neuf","Toshiba","Smart TV Box 4K","25 000 F Cfa"
"1732740689-40","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740689-41","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Hisense","TELEVISEUR - HISENSE - 50""- SMART ANDROID - NOIR","299 000 F Cfa"
"1732740689-42","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Autre","TELEVISION INCASSABLE SMART 55 POUCE 4K","230 000 F Cfa"
"1732740689-43","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Autre","TELEVISEUR - DESKA - 55 SMART TV - 55CR81- 140 CM","269 000 F Cfa"
"1732740689-44","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Autre","TELEVISEUR - DESKA - 50 SMART TV -  50CR81- 127 CM","239 900 F Cfa"
"1732740689-45","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Autre","TELEVISEUR - DESKA - 43″ - 43CR8I-C - SMART TV – 109 CM","169 900 F Cfa"
"1732740689-46","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Autre","TELEVISEUR - DESKA - 32 SMART TV -  32CR81 – 82 CM","109 000 F Cfa"
"1732740689-47","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Astech","TELEVISEUR - ASTECH – 75’’- ANDROID - SMART- 4K – QLED","739 000 F Cfa"
"1732740689-48","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Toshiba","Android 11.0 tv box","40 000 F Cfa"
"1732740689-49","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","Autre","Clé Box 4K Chromecast","50 000 F Cfa"
"1732740689-50","https://www.expat-dakar.com/tv-home-cinema?page=152","Neuf","H96","BOX TV H96 Mini H8","20 000 F Cfa"
"1732740691-51","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740691-52","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Autre","TÉLÉVISEUR 32 POUCES SMART EVVOLI ANDROID TV","119 000 F Cfa"
"1732740691-53","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Roch","Smart TV Android ROCH 43","140 000 F Cfa"
"1732740691-54","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Continental","Smart TV continental 55"" soi 1m37","259 000 F Cfa"
"1732740691-55","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Autre","TÉLÉVISEUR ELACTRON 50 SMART TV TS -5061S ANDROID","214 000 F Cfa"
"1732740691-56","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","LG","TÉLÉVISEUR LG 32 POUCES TV LED HD","105 000 F Cfa"
"1732740691-57","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Autre","TÉLÉVISEUR 32POUCES LED ETEX GOLD","69 000 F Cfa"
"1732740691-58","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Autre","TÉLÉVISEUR 32 POUCES READY LED TV","69 000 F Cfa"
"1732740691-59","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","LG","BAR DE SON LG 300W A+++","129 000 F Cfa"
"1732740691-60","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","Samsung","TÉLÉVISEUR SAMSUNG  SMART 4K UHD","319 000 F Cfa"
"1732740691-61","https://www.expat-dakar.com/tv-home-cinema?page=151","Neuf","All Star","Support mural tv mobile","20 000 F Cfa"
"1732740694-62","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740694-63","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Téléviseur Continental 32 Led","69 000 F Cfa"
"1732740694-64","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Téléviseur Continental 32 Smart TV","89 000 F Cfa"
"1732740694-65","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Autre","Téléviseur Ready 32 Pouces Led Tv","63 000 F Cfa"
"1732740694-66","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Téléviseur 65 pouces Continental smart Android Tv","349 000 F Cfa"
"1732740694-67","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Téléviseur 65 pouces Continental smart Android Tv","349 000 F Cfa"
"1732740694-68","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Roch","Téléviseur 43 ROCH Smart Android","139 000 F Cfa"
"1732740694-69","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Téléviseur Continental 32 Smart TV","89 000 F Cfa"
"1732740694-70","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Téléviseur Continental 32 Led HD","69 000 F Cfa"
"1732740694-71","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","LG","Téléviseur LG 43 pouces smart TV 6370 PVA","239 000 F Cfa"
"1732740694-72","https://www.expat-dakar.com/tv-home-cinema?page=150","Neuf","Continental","Smart TV continental 43 soit 109Cm","149 900 F Cfa"
"1732740696-73","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740696-74","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART TECHNOLOGY SMART TV","139 000 F Cfa"
"1732740696-75","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 74 POUCES SMART 4K","789 000 F Cfa"
"1732740696-76","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Autre","TÉLÉVISEUR 75 POUCES SMART TECHNOLOGY SMART TV","439 000 F Cfa"
"1732740696-77","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Autre","TÉLÉVISEUR 65 POUCES SMART TECHNOLOGY","349 000 F Cfa"
"1732740696-78","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Autre","TÉLÉVISEUR 55POUCES SMART TECHNOLOGY SMART TV","189 000 F Cfa"
"1732740696-79","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","LG","TÉLÉVISEUR LG 43 POUCES SMART TV","229 000 F Cfa"
"1732740696-80","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Autre","Téléviseur 65pouces TORL smart Android 4k","298 000 F Cfa"
"1732740696-81","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Star","LG TELEVISION SMART TV 50 POUCES 4K 50UN7240PVG/50UP77","350 000 F Cfa"
"1732740696-82","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Continental","TÉLÉVISEUR CONTINENTAL 32 SMART TV","89 000 F Cfa"
"1732740696-83","https://www.expat-dakar.com/tv-home-cinema?page=149","Neuf","Autre","Téléviseur RISING Pouces Led","69 000 F Cfa"
"1732740699-84","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740699-85","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Autre","TÉLÉVISEUR SOLSTAR 32 SMART","94 000 F Cfa"
"1732740699-86","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Star","TÉLÉVISEUR 55POUCES STAR TRACK SMART TV","194 000 F Cfa"
"1732740699-87","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Autre","TÉLÉVISEUR 32 POUCES READY LED","63 000 F Cfa"
"1732740699-88","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Autre","TÉLÉVISEUR JY 24 LED 2400D NOUVEAU MODÈLE","69 000 F Cfa"
"1732740699-89","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Autre","TÉLÉVISEUR 75 POUCES SMART TECHNOLOGY  SMART 4K","449 000 F Cfa"
"1732740699-90","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","LG","HOME CINÉMA LG PUISSANCE 330WATT","169 000 F Cfa"
"1732740699-91","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","LG","TÉLÉVISEUR LG 65 POUCES SMART 4K","549 000 F Cfa"
"1732740699-92","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Samsung","TÉLÉVISEUR 85 POUCES SAMSUNG CRYSTAL 4K","1 300 000 F Cfa"
"1732740699-93","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Autre","TÉLÉVISEUR SMART TECHNOLOGY 32 LED TV","69 000 F Cfa"
"1732740699-94","https://www.expat-dakar.com/tv-home-cinema?page=148","Neuf","Samsung","TÉLÉVISEUR 75 POUCES SAMSUNG SMART CRYSTAL 4K","789 000 F Cfa"
"1732740701-95","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740701-96","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","LG","TÉLÉVISEUR LG 86 POUCES NANO CELL 4K","1 419 000 F Cfa"
"1732740701-97","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","LG","TÉLÉVISEUR LG 86POUCES UN85006LA UHD","1 300 000 F Cfa"
"1732740701-98","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","LG","TÉLÉVISEUR LG 86POUCES UHD UQ8000AUB","1 289 000 F Cfa"
"1732740701-99","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Autre","TÉLÉVISEUR 55POUCES TORL SMART 4K","229 000 F Cfa"
"1732740701-100","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Autre","TÉLÉVISEUR 65POUCES TORL SMART UHD","298 000 F Cfa"
"1732740701-101","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Autre","TÉLÉVISEUR 50POUCES TORL SMART TV","189 000 F Cfa"
"1732740701-102","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Autre","TÉLÉVISEUR 65POUCES SMART TECHNOLOGY SMART UHD TV","299 000 F Cfa"
"1732740701-103","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Autre","TÉLÉVISEUR 55POUCES SMART TECHNOLOGY","194 000 F Cfa"
"1732740701-104","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Autre","TÉLÉVISEUR 55 CAC SMART UHD","244 000 F Cfa"
"1732740701-105","https://www.expat-dakar.com/tv-home-cinema?page=147","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 32 SMART UA","143 000 F Cfa"
"1732740704-106","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740704-107","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","Autre","TÉLÉVISEUR AIWA 55POUCES SMART TV","269 000 F Cfa"
"1732740704-108","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","Autre","TÉLÉVISEUR EVVOLI 32 SMART TV","110 000 F Cfa"
"1732740704-109","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","Autre","MINI CHAINE SYINIX SYN- L501 SB EXPLOSION DES BASSES","69 000 F Cfa"
"1732740704-110","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","LG","MINI CHAINE LG OM 4560 220WATTS","119 000 F Cfa"
"1732740704-111","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","LG","MINI CHAINE LG LK72B EXPLOSION DES BASSES","89 000 F Cfa"
"1732740704-112","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","LG","MINI CHAINE LG XBOOM CL65 950 WATTS","189 000 F Cfa"
"1732740704-113","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","LG","MINI CHAINE LG CJ 44 MULTI JUKE-BOX","159 000 F Cfa"
"1732740704-114","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","Samsung","Téléviseur Samsung 55Pouces QLED 55Q","449 000 F Cfa"
"1732740704-115","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","Samsung","Téléviseur Samsung 50 Pouces Au/Tu7000","329 000 F Cfa"
"1732740704-116","https://www.expat-dakar.com/tv-home-cinema?page=146","Neuf","LG","MINI CHAINE LG LK72B","98 000 F Cfa"
"1732740706-117","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740706-118","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Samsung","Téléviseur SAMSUNG 65POUCES AU/RU7170","549 000 F Cfa"
"1732740706-119","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 65POUCES CRYSTAL UHD 4K AU7700KXX","549 000 F Cfa"
"1732740706-120","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 65POUCES SMART 4K UHD","549 000 F Cfa"
"1732740706-121","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Hisense","TÉLÉVISEUR HISENSE 43POUCES SMART","165 000 F Cfa"
"1732740706-122","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","LG","TÉLÉVISEUR LG 55POUCES SMART UHD 4K","344 000 F Cfa"
"1732740706-123","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Xiaomi","Box Tv - Xiaomi box S","45 000 F Cfa"
"1732740706-124","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","LG","TÉLÉVISEUR LG 55POUCES UP75006LF","339 000 F Cfa"
"1732740706-125","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","LG","TÉLÉVISEUR LG 86POUCES SMART 4K UHD","1 350 000 F Cfa"
"1732740706-126","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","LG","TÉLÉVISEUR LG 86POUCES 4K UHD 217CM","1 350 000 F Cfa"
"1732740706-127","https://www.expat-dakar.com/tv-home-cinema?page=145","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 8K 75 POUCES QA75QN800","2 300 000 F Cfa"
"1732740709-128","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740709-129","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Autre","TÉLÉVISEUR 43POUCES MASER SMART TV","115 000 F Cfa"
"1732740709-130","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Autre","TÉLÉVISEUR 32POUCES SMART TECHNOLOGY SMART TV","79 000 F Cfa"
"1732740709-131","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Autre","TÉLÉVISEUR 55POUCES WIWLIL SMART TV","219 000 F Cfa"
"1732740709-132","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART ANDROID SMART TECHNOLOGY","129 000 F Cfa"
"1732740709-133","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Autre","TÉLÉVISEUR 75 POUCES SMART TECHNOLOGY SMART TV","479 000 F Cfa"
"1732740709-134","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Star","TÉLÉVISEUR 75 POUCES STAR TRACK SMART ANDROID TV","549 000 F Cfa"
"1732740709-135","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","LG","TÉLÉVISEUR LG OLED 55POUCES BXPVA","779 000 F Cfa"
"1732740709-136","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Hisense","TÉLÉVISEUR HISENSE 43POUCES SMART TV","165 000 F Cfa"
"1732740709-137","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 85 8K QA85QN800ATXZT","3 F Cfa"
"1732740709-138","https://www.expat-dakar.com/tv-home-cinema?page=144","Neuf","Samsung","TÉLÉVISEUR SAMSUNG 65POUCES SMART GU/TU6979U","549 000 F Cfa"
"1732740711-139","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740711-140","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 65POUCES SMART TECHNOLOGY SMART TV","269 000 F Cfa"
"1732740711-141","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 65POUCES SMART TECHNOLOGY SMART TV","269 000 F Cfa"
"1732740711-142","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART TECHNOLOGY SMART TV","129 000 F Cfa"
"1732740711-143","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 55POUCES SMART TECHNOLOGY SMART TV","189 000 F Cfa"
"1732740711-144","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Astech","TÉLÉVISEUR 43POUCES ASTECH SMART ANDROID TV","139 000 F Cfa"
"1732740711-145","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Astech","TÉLÉVISEUR 43POUCES ASTECH SMART ANDROID","139 000 F Cfa"
"1732740711-146","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 43POUCES MASER SMART TV","115 000 F Cfa"
"1732740711-147","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 55POUCES WIWLIIL SMART TV","219 000 F Cfa"
"1732740711-148","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART TV","129 000 F Cfa"
"1732740711-149","https://www.expat-dakar.com/tv-home-cinema?page=143","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART TECHNOLOGY SMART TV","129 000 F Cfa"
"1732740713-150","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740713-151","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 75POUCES SMART TECHNOLOGY SMART TV","498 000 F Cfa"
"1732740713-152","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 55POUCES SMART TECHNOLOGY SMART TV","229 000 F Cfa"
"1732740713-153","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 65POUCES SMART TECHNOLOGY SMART TV","298 000 F Cfa"
"1732740713-154","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 32POUCES SMART TECHNOLOGY SMART TV","78 000 F Cfa"
"1732740713-155","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 32POUCES SMART TECHNOLOGY LED TV","72 000 F Cfa"
"1732740713-156","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 75POUCES SMART TECHNOLOGY SMART TV","439 000 F Cfa"
"1732740713-157","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 32POUCES SMART TECHNOLOGY SMART TV","78 000 F Cfa"
"1732740713-158","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 32POUCES  SMART TECHNOLOGY LED TV","72 000 F Cfa"
"1732740713-159","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART TECHNOLOGY SMART TV","129 000 F Cfa"
"1732740713-160","https://www.expat-dakar.com/tv-home-cinema?page=142","Neuf","Autre","TÉLÉVISEUR 55POUCES SMART TECHNOLOGY SMART TV","229 000 F Cfa"
"1732740716-161","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740716-162","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","LG","TÉLÉVISEUR LG 65POUCES OLED 4K","1 700 000 F Cfa"
"1732740716-163","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Autre","TÉLÉVISEUR 65POUCES WIWLIIL SMART TV","319 000 F Cfa"
"1732740716-164","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Autre","TÉLÉVISEUR 32"" TORL LED TV","68 000 F Cfa"
"1732740716-165","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Hisense","TÉLÉVISEUR HISENSE 65POUCES SMART UHD 4K","459 000 F Cfa"
"1732740716-166","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Hisense","TÉLÉVISEUR HISENSE 75POUCES UHD4K SMART","729 000 F Cfa"
"1732740716-167","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Astech","TÉLÉVISEUR 55POUCES ASTECH SMART ANDROID","225 900 F Cfa"
"1732740716-168","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Astech","TÉLÉVISEUR 65POUCES ASTECH SMART ANDROID TV","359 000 F Cfa"
"1732740716-169","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Autre","TÉLÉVISEUR 55POUCES 140CM WIWLIL SMART TV","219 000 F Cfa"
"1732740716-170","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Autre","TÉLÉVISEUR 65POUCES WIWLIL SMART TV","319 000 F Cfa"
"1732740716-171","https://www.expat-dakar.com/tv-home-cinema?page=141","Neuf","Autre","TÉLÉVISEUR 43POUCES SMART TECHNOLOGY SMART TV","129 000 F Cfa"
"1732740718-172","https://www.expat-dakar.com/tv-home-cinema?page=140","Neuf","Hisense","tv smart hisense 65"" uhd 4k full options","380 000 F Cfa"
"1732740718-173","https://www.expat-dakar.com/tv-home-cinema?page=140","Neuf","LG","MINI CHAINE LG ON7 SUPER BASS BOOST","239 000 F Cfa"
"1732740718-174","https://www.expat-dakar.com/tv-home-cinema?page=140","Neuf","LG","MINI CHAINE LG XBOOM PORTABLE 24HR IPX5","74 000 F Cfa"
